id,category,brand,model,title,description,price,discount,stock,rating,review_count,color,warranty,features,tags
11,پوشاک زنانه,بِرشکا,شومیز (نسخه جدید),بِرشکا شومیز (نسخه جدید) - صورتی,محصول بِرشکا مدل شومیز (نسخه جدید) با ویژگی‌های دارای آستر | سایزبندی XS تا XXL | جنس ویسکوز نرم. بهترین انتخاب در دسته پوشاک زنانه.,1970000,0,100,3.5,2144,صورتی,۱۲ ماه گارانتی,دارای آستر | سایزبندی XS تا XXL | جنس ویسکوز نرم | بدون ترنسپارنت,پوشاک، مد، تابستانه، رسمی
12,تلویزیون,ایکس‌ویژن,Bravia X90L Pro,ایکس‌ویژن Bravia X90L Pro - مشکی,Bravia X90L Pro از برند معتبر ایکس‌ویژن. اسمارت TV | Google TV | نرخ تازه‌سازی ۱۲۰Hz. کیفیت تضمینی.,131065000,0,200,2.7,551,مشکی,۳۶ ماه گارانتی,اسمارت TV | Google TV | نرخ تازه‌سازی ۱۲۰Hz | پورت HDMI 2.1,اسمارت، تلویزیون، OLED، TV
13,دوچرخه,ترک,Thunder Ultra,ترک Thunder Ultra - قرمز,محصول ترک مدل Thunder Ultra با ویژگی‌های زین راحت | دنده ۲۱ سرعته | چرخ ۲۷.۵ اینچ. بهترین انتخاب در دسته دوچرخه.,22285000,10,0,3.2,2354,قرمز,بدون گارانتی,زین راحت | دنده ۲۱ سرعته | چرخ ۲۷.۵ اینچ | فریم آلومینیوم,ورزش، دوچرخه، کوهستان، شهری
14,ابزارآلات,هیلتی,اره گردبر Lite,هیلتی اره گردبر Lite - قرمز,اره گردبر Lite از برند معتبر هیلتی. ۲ باتری پکیج | گشتاور ۶۰ نیوتون‌متر | کیف حمل. کیفیت تضمینی.,11455000,0,0,2.7,1980,قرمز,۲۴ ماه گارانتی,۲ باتری پکیج | گشتاور ۶۰ نیوتون‌متر | کیف حمل | کنترل سرعت,ساختمان، DIY، نجاری، برقی
15,یخچال,بوش,InstaView LRMVS3006S Plus,بوش InstaView LRMVS3006S Plus - نقره‌ای,بوش InstaView LRMVS3006S Plus - قفسه‌های قابل تنظیم | فریزر پایین | صدای کم ۳۸ دسیبل. مناسب برای کاربران یخچال.,55200000,30,200,2.9,776,نقره‌ای,بدون گارانتی,قفسه‌های قابل تنظیم | فریزر پایین | صدای کم ۳۸ دسیبل | کمپرسور اینورتر,بزرگ، No Frost، یخچال، لوازم خانگی
16,قهوه‌ساز,ساکو,CM5481W SE,ساکو CM5481W SE - قرمز,ساکو CM5481W SE - برنامه‌ریزی زمانی | تهیه دو فنجان همزمان | دماسنج دقیق. مناسب برای کاربران قهوه‌ساز.,1550000,15,10,2.6,236,قرمز,۱۸ ماه گارانتی,برنامه‌ریزی زمانی | تهیه دو فنجان همزمان | دماسنج دقیق | ظرفیت مخزن ۱.۸ لیتر,کافه، اسپرسو، خانگی، باریستا
17,مکمل ورزشی,سیتادل,ال-کارنیتین Pro,سیتادل ال-کارنیتین Pro - متنوع,سیتادل ال-کارنیتین Pro - بدون شکر افزوده | طعم شکلات | سطح کراتین ۵ گرم. مناسب برای کاربران مکمل ورزشی.,1765000,0,30,4.9,1392,متنوع,۱۸ ماه گارانتی,بدون شکر افزوده | طعم شکلات | سطح کراتین ۵ گرم | ۳۰ وعده در هر بسته,کراتین، پروتئین، مکمل، سلامت
18,اسباب‌بازی,هاسبرو,Baby Einstein Pro,هاسبرو Baby Einstein Pro - زرد,پیشنهاد ویژه: هاسبرو Baby Einstein Pro. رنگ غیر سمی | بی‌خطر بدون BPA | صدا و نور. ارسال سریع.,945000,15,100,3.3,862,زرد,۶ ماه گارانتی,رنگ غیر سمی | بی‌خطر بدون BPA | صدا و نور | قطعات لاستیکی نرم,اسباب‌بازی، لگو، کودک، آموزشی
19,چای‌ساز,گاستروبک,HD9352 Plus,گاستروبک HD9352 Plus - استیل,گاستروبک HD9352 Plus - چراغ LED | حرارت سریع | صفحه لمسی. مناسب برای کاربران چای‌ساز.,805000,0,10,4.5,2290,استیل,۱۲ ماه گارانتی,چراغ LED | حرارت سریع | صفحه لمسی | ظرفیت ۲ لیتر,کتری برقی، خانگی، آشپزخانه، چای‌ساز
20,ابزارآلات,هیلتی,سنباده ارتعاشی Max,هیلتی سنباده ارتعاشی Max - آبی,سنباده ارتعاشی Max از برند معتبر هیلتی. LED روشنایی | کیف حمل | ضدگرد و غبار. کیفیت تضمینی.,4625000,10,30,3.0,2460,آبی,۲۴ ماه گارانتی,LED روشنایی | کیف حمل | ضدگرد و غبار | کنترل سرعت,ابزار، برقی، DIY، ساختمان
21,سرخ‌کن,بریاس,EY8018,بریاس EY8018 - سفید,بریاس EY8018 - تایمر دیجیتال | حرارت سریع | بدون روغن. مناسب برای کاربران سرخ‌کن.,3115000,15,30,4.2,1665,سفید,۶ ماه گارانتی,تایمر دیجیتال | حرارت سریع | بدون روغن | ظرفیت ۴.۵ لیتر,هواپز، سرخ‌کن، بدون روغن، آشپزخانه
22,لوازم خودرو,میشلن,دزدگیر هوشمند (2024),میشلن دزدگیر هوشمند (2024) - نقره‌ای,دزدگیر هوشمند (2024) از برند معتبر میشلن. باتری بکاپ | شارژ سریع | اتصال BT. کیفیت تضمینی.,520000,30,100,3.3,3001,نقره‌ای,۳۶ ماه گارانتی,باتری بکاپ | شارژ سریع | اتصال BT | دوربین ۴K,دوربین، لوازم ماشین، خودرو، ایمنی
23,موبایل,اپل,Galaxy A54 Ultra,اپل Galaxy A54 Ultra - سفید,اپل Galaxy A54 Ultra - نمایشگر AMOLED | باتری ۵۰۰۰ میلی‌آمپر | 5G. مناسب برای کاربران موبایل.,44125000,15,0,2.6,900,سفید,۱۸ ماه گارانتی,نمایشگر AMOLED | باتری ۵۰۰۰ میلی‌آمپر | 5G | دوربین ۱۰۸ مگاپیکسل,iOS، دوربین عالی، موبایل، گوشی
24,دسته بازی,8BitDo,Wolverine V2 (2024),8BitDo Wolverine V2 (2024) - قرمز,8BitDo Wolverine V2 (2024) - لرزش هپتیک | اتصال بی‌سیم | ماشه تطبیقی. مناسب برای کاربران دسته بازی.,1010000,5,100,4.8,3413,قرمز,۱۲ ماه گارانتی,لرزش هپتیک | اتصال بی‌سیم | ماشه تطبیقی | دکمه‌های پشتی,بی‌سیم، دسته بازی، گیمینگ، Xbox
25,ماشین لباسشویی,بوش,SWD-84502 Max,بوش SWD-84502 Max - نقره‌ای,بوش SWD-84502 Max - ضدالرژی | صرفه‌جویی در آب | دور ۱۴۰۰ rpm. مناسب برای کاربران ماشین لباسشویی.,38575000,0,200,4.0,2547,نقره‌ای,۱۲ ماه گارانتی,ضدالرژی | صرفه‌جویی در آب | دور ۱۴۰۰ rpm | برنامه‌های متنوع,تمام اتوماتیک، ماشین لباسشویی، اینورتر، لوازم خانگی
26,دوچرخه,ترک,City Pro Ultra,ترک City Pro Ultra - نارنجی,ترک City Pro Ultra - دنده ۲۱ سرعته | ارتفاع قابل تنظیم | فریم آلومینیوم. مناسب برای کاربران دوچرخه.,25655000,0,0,3.8,158,نارنجی,بدون گارانتی,دنده ۲۱ سرعته | ارتفاع قابل تنظیم | فریم آلومینیوم | ترمز دیسک هیدرولیک,شهری، MTB، ورزش، دوچرخه
27,کتاب,انتشارات کتابسرا,کتاب علمی (نسخه جدید),انتشارات کتابسرا کتاب علمی (نسخه جدید) - متنوع,پیشنهاد ویژه: انتشارات کتابسرا کتاب علمی (نسخه جدید). جلد سخت | تصویرسازی رنگی | کاغذ کرم. ارسال سریع.,735000,0,0,3.4,2722,متنوع,۶ ماه گارانتی,جلد سخت | تصویرسازی رنگی | کاغذ کرم | ویرایش دوم,کتاب، ادبیات، مطالعه، علمی
28,لوازم حیوانات,زاپس,اسباب‌بازی گربه Lite,زاپس اسباب‌بازی گربه Lite - متنوع,اسباب‌بازی گربه Lite از برند معتبر زاپس. طبیعی ۱۰۰% | برای همه نژادها | تأیید دامپزشک. کیفیت تضمینی.,1055000,0,10,4.3,3398,متنوع,بدون گارانتی,طبیعی ۱۰۰% | برای همه نژادها | تأیید دامپزشک | بدون گلوتن,حیوانات خانگی، سلامت، سگ، غذا
29,ابزارآلات,بوش,آچار پنوماتیک,بوش آچار پنوماتیک - قرمز,بوش آچار پنوماتیک - کنترل سرعت | گشتاور ۶۰ نیوتون‌متر | تعویض سریع مته. مناسب برای کاربران ابزارآلات.,4630000,25,10,3.3,1671,قرمز,بدون گارانتی,کنترل سرعت | گشتاور ۶۰ نیوتون‌متر | تعویض سریع مته | LED روشنایی,ابزار، برقی، ساختمان، نجاری
30,یخچال,اسنوا,InstaView LRMVS3006S (نسخه جدید),اسنوا InstaView LRMVS3006S (نسخه جدید) - نقره‌ای,پیشنهاد ویژه: اسنوا InstaView LRMVS3006S (نسخه جدید). ظرفیت ۶۰۰ لیتر | نمایشگر دیجیتال | قفسه‌های قابل تنظیم. ارسال سریع.,73055000,10,200,3.8,1595,نقره‌ای,۲۴ ماه گارانتی,ظرفیت ۶۰۰ لیتر | نمایشگر دیجیتال | قفسه‌های قابل تنظیم | کمپرسور اینورتر,لوازم خانگی، یخچال، بزرگ، اینورتر
31,کتاب,نشر چشمه,رمان ادبی Max,نشر چشمه رمان ادبی Max - متنوع,پیشنهاد ویژه: نشر چشمه رمان ادبی Max. ترجمه تخصصی | نمایه جامع | کاغذ کرم. ارسال سریع.,670000,0,0,3.1,2173,متنوع,۲۴ ماه گارانتی,ترجمه تخصصی | نمایه جامع | کاغذ کرم | تصویرسازی رنگی,ادبیات، آموزش، رمان، علمی
32,لوازم خودرو,دنا,داشبورد کامرا Lite,دنا داشبورد کامرا Lite - مشکی,پیشنهاد ویژه: دنا داشبورد کامرا Lite. دوربین ۴K | GPS مکان‌یاب | Wi-Fi داخلی. ارسال سریع.,3810000,0,100,2.6,1465,مشکی,۳۶ ماه گارانتی,دوربین ۴K | GPS مکان‌یاب | Wi-Fi داخلی | شتاب G-Sensor,دوربین، GPS، لوازم ماشین، ایمنی
33,لوازم خودرو,شل,داشبورد کامرا,شل داشبورد کامرا - نقره‌ای,شل داشبورد کامرا - GPS مکان‌یاب | شارژ سریع | Wi-Fi داخلی. مناسب برای کاربران لوازم خودرو.,195000,10,150,4.0,1244,نقره‌ای,بدون گارانتی,GPS مکان‌یاب | شارژ سریع | Wi-Fi داخلی | باتری بکاپ,ایمنی، لوازم ماشین، دوربین، خودرو
34,اسباب‌بازی,هاسبرو,LEGO Technic Plus,هاسبرو LEGO Technic Plus - قرمز,محصول هاسبرو مدل LEGO Technic Plus با ویژگی‌های مناسب ۳+ سال | بی‌خطر بدون BPA | قابل شستشو. بهترین انتخاب در دسته اسباب‌بازی.,325000,5,100,4.1,2666,قرمز,۱۸ ماه گارانتی,مناسب ۳+ سال | بی‌خطر بدون BPA | قابل شستشو | قطعات لاستیکی نرم,خلاقیت، کودک، اسباب‌بازی، لگو
35,مانیتور,سامسونگ,UltraSharp U2722D Max,سامسونگ UltraSharp U2722D Max - نقره‌ای,محصول سامسونگ مدل UltraSharp U2722D Max با ویژگی‌های ارتفاع قابل تنظیم | USB-C Hub | پوشش رنگی sRGB 99%. بهترین انتخاب در دسته مانیتور.,34845000,25,30,3.9,2773,نقره‌ای,۳۶ ماه گارانتی,ارتفاع قابل تنظیم | USB-C Hub | پوشش رنگی sRGB 99% | زمان پاسخ ۱ms,4K، گیمینگ، طراحی، مانیتور
36,پوشاک مردانه,کالباندی,شلوار جین ویژه,کالباندی شلوار جین ویژه - کاکی,محصول کالباندی مدل شلوار جین ویژه با ویژگی‌های رنگ‌ثابت | ضدچروک | سایزبندی استاندارد. بهترین انتخاب در دسته پوشاک مردانه.,2005000,0,200,4.8,1305,کاکی,۱۲ ماه گارانتی,رنگ‌ثابت | ضدچروک | سایزبندی استاندارد | قابل شستشو در ماشین,رسمی، ورزشی، پوشاک، کژوال
37,تبلت,آمازون,Galaxy Tab S9 SE,آمازون Galaxy Tab S9 SE - نقره‌ای,پیشنهاد ویژه: آمازون Galaxy Tab S9 SE. دوربین ۱۳ مگاپیکسل | پردازنده A16 Bionic | کیفیت نمایش 2K. ارسال سریع.,32730000,30,20,3.3,1010,نقره‌ای,۱۲ ماه گارانتی,دوربین ۱۳ مگاپیکسل | پردازنده A16 Bionic | کیفیت نمایش 2K | رم ۸ گیگ,آموزش، ترسیم دیجیتال، تبلت، iPad
38,اسپیکر,سونی,SoundLink Flex Pro,سونی SoundLink Flex Pro - خاکستری,SoundLink Flex Pro از برند معتبر سونی. اتصال چندگانه | مقاومت در برابر آب IPX7 | صدای ۳۶۰ درجه. کیفیت تضمینی.,14050000,0,100,5.0,1965,خاکستری,۳۶ ماه گارانتی,اتصال چندگانه | مقاومت در برابر آب IPX7 | صدای ۳۶۰ درجه | باتری ۲۴ ساعته,بلندگو، بی‌سیم، اسپیکر، موزیک
39,موبایل,موتورولا,Nord CE3 SE,موتورولا Nord CE3 SE - طلایی,محصول موتورولا مدل Nord CE3 SE با ویژگی‌های حافظه داخلی ۲۵۶ گیگ | باتری ۵۰۰۰ میلی‌آمپر | ضدآب IP68. بهترین انتخاب در دسته موبایل.,8425000,30,150,2.7,1289,طلایی,۱۲ ماه گارانتی,حافظه داخلی ۲۵۶ گیگ | باتری ۵۰۰۰ میلی‌آمپر | ضدآب IP68 | شارژ سریع ۶۷ وات,موبایل، iOS، اندروید، گوشی
40,پوشاک مردانه,لوی'ز,هودی Plus,لوی'ز هودی Plus - مشکی,هودی Plus از برند معتبر لوی'ز. سایزبندی استاندارد | جنس ۱۰۰% پنبه | تنفس‌پذیر. کیفیت تضمینی.,560000,25,50,4.3,2100,مشکی,۶ ماه گارانتی,سایزبندی استاندارد | جنس ۱۰۰% پنبه | تنفس‌پذیر | رنگ‌ثابت,مردانه، کژوال، رسمی، پوشاک
41,اسباب‌بازی,اپیک,Nerf Elite Plus,اپیک Nerf Elite Plus - رنگارنگ,اپیک Nerf Elite Plus - مناسب ۳+ سال | آموزشی | صدا و نور. مناسب برای کاربران اسباب‌بازی.,955000,25,0,3.8,689,رنگارنگ,۳۶ ماه گارانتی,مناسب ۳+ سال | آموزشی | صدا و نور | قابل شستشو,اسباب‌بازی، کودک، خلاقیت، لگو
42,مکمل ورزشی,متاکس,پروتئین وی ویژه,متاکس پروتئین وی ویژه - متنوع,متاکس پروتئین وی ویژه - بدون شکر افزوده | سطح کراتین ۵ گرم | مناسب گیاهخوار. مناسب برای کاربران مکمل ورزشی.,3215000,15,5,3.6,1468,متنوع,بدون گارانتی,بدون شکر افزوده | سطح کراتین ۵ گرم | مناسب گیاهخوار | انحلال سریع,بدنسازی، مکمل، ورزش، کراتین
43,مودم,میکروتیک,hAP ax3 ویژه,میکروتیک hAP ax3 ویژه - سفید,محصول میکروتیک مدل hAP ax3 ویژه با ویژگی‌های Wi-Fi 6 AX5400 | QoS پیشرفته | پوشش ۳۰۰ متر مربع. بهترین انتخاب در دسته مودم.,9485000,30,150,3.0,1609,سفید,۲۴ ماه گارانتی,Wi-Fi 6 AX5400 | QoS پیشرفته | پوشش ۳۰۰ متر مربع | ۸ آنتن خارجی,خانه هوشمند، مودم، روتر، اینترنت
44,تبلت,اپل,Pad 6 SE,اپل Pad 6 SE - خاکستری,پیشنهاد ویژه: اپل Pad 6 SE. رم ۸ گیگ | پردازنده A16 Bionic | باتری ۱۰۰۰۰ میلی‌آمپر. ارسال سریع.,22175000,15,20,4.6,1931,خاکستری,۱۲ ماه گارانتی,رم ۸ گیگ | پردازنده A16 Bionic | باتری ۱۰۰۰۰ میلی‌آمپر | 4G LTE,سرگرمی، تبلت، iPad، ترسیم دیجیتال
45,ابزارآلات,ماکیتا,دریل شارژی Plus,ماکیتا دریل شارژی Plus - آبی,دریل شارژی Plus از برند معتبر ماکیتا. کیف حمل | ضدگرد و غبار | باتری ۱۸ ولت. کیفیت تضمینی.,3545000,0,0,3.2,409,آبی,۲۴ ماه گارانتی,کیف حمل | ضدگرد و غبار | باتری ۱۸ ولت | گشتاور ۶۰ نیوتون‌متر,برقی، نجاری، ساختمان، DIY
46,لوازم حیوانات,زاپس,غذای سگ Plus,زاپس غذای سگ Plus - متنوع,غذای سگ Plus از برند معتبر زاپس. دانه‌بندی ریز | طبیعی ۱۰۰% | هضم آسان. کیفیت تضمینی.,285000,30,200,3.5,958,متنوع,بدون گارانتی,دانه‌بندی ریز | طبیعی ۱۰۰% | هضم آسان | بدون گلوتن,گربه، حیوانات خانگی، سلامت، غذا
47,کنسول بازی,ولو,Nintendo Switch OLED (نسخه جدید),ولو Nintendo Switch OLED (نسخه جدید) - مشکی,پیشنهاد ویژه: ولو Nintendo Switch OLED (نسخه جدید). حافظه SSD سریع | ریمسترهای نسل نهم | بازی آنلاین. ارسال سریع.,29175000,30,50,3.8,2624,مشکی,۶ ماه گارانتی,حافظه SSD سریع | ریمسترهای نسل نهم | بازی آنلاین | نرخ فریم ۱۲۰fps,PlayStation، بازی، Xbox، Nintendo
48,یخچال,سامسونگ,DRFP40S Max,سامسونگ DRFP40S Max - سفید,سامسونگ DRFP40S Max - فریزر پایین | صدای کم ۳۸ دسیبل | جداسازی رطوبت. مناسب برای کاربران یخچال.,59955000,25,50,4.9,2819,سفید,بدون گارانتی,فریزر پایین | صدای کم ۳۸ دسیبل | جداسازی رطوبت | No Frost بدون برفک,بزرگ، لوازم خانگی، اینورتر، No Frost
49,کیبورد,هایپرایکس,MX Keys Plus,هایپرایکس MX Keys Plus - مشکی,پیشنهاد ویژه: هایپرایکس MX Keys Plus. ضدآب | بلوتوث بی‌سیم | عمر کلید ۱۰۰ میلیون ضربه. ارسال سریع.,11415000,5,20,3.3,2650,مشکی,۱۲ ماه گارانتی,ضدآب | بلوتوث بی‌سیم | عمر کلید ۱۰۰ میلیون ضربه | پروفایل قابل تنظیم,کیبورد، اداری، گیمینگ، مکانیکال
50,کتاب,انتشارات آموت,تاریخ SE,انتشارات آموت تاریخ SE - متنوع,محصول انتشارات آموت مدل تاریخ SE با ویژگی‌های ۳۵۰ صفحه | ویرایش دوم | تصویرسازی رنگی. بهترین انتخاب در دسته کتاب.,395000,0,20,5.0,884,متنوع,۲۴ ماه گارانتی,۳۵۰ صفحه | ویرایش دوم | تصویرسازی رنگی | نمایه جامع,کتاب، ادبیات، مطالعه، علمی
51,پرینتر,Samsung,MFC-J4340DW (2024),Samsung MFC-J4340DW (2024) - سفید,پیشنهاد ویژه: Samsung MFC-J4340DW (2024). سرعت ۲۸ صفحه در دقیقه | کارتریج با ظرفیت بالا | اتصال Wi-Fi. ارسال سریع.,15275000,0,200,4.7,1846,سفید,۶ ماه گارانتی,سرعت ۲۸ صفحه در دقیقه | کارتریج با ظرفیت بالا | اتصال Wi-Fi | چاپ موبایل,خانگی، جوهرافشان، پرینتر، اداری
52,کیبورد,کورسیر,Alloy Origins (نسخه جدید),کورسیر Alloy Origins (نسخه جدید) - قرمز,Alloy Origins (نسخه جدید) از برند معتبر کورسیر. ضدآب | پروفایل قابل تنظیم | کلیدهای ماکرو. کیفیت تضمینی.,3735000,0,30,2.9,1884,قرمز,۳۶ ماه گارانتی,ضدآب | پروفایل قابل تنظیم | کلیدهای ماکرو | بلوتوث بی‌سیم,مکانیکال، گیمینگ، کیبورد، RGB
53,مانیتور,ایسر,UltraSharp U2722D (2024),ایسر UltraSharp U2722D (2024) - مشکی,ایسر UltraSharp U2722D (2024) - پوشش رنگی sRGB 99% | USB-C Hub | زمان پاسخ ۱ms. مناسب برای کاربران مانیتور.,22880000,20,200,4.7,2684,مشکی,۳۶ ماه گارانتی,پوشش رنگی sRGB 99% | USB-C Hub | زمان پاسخ ۱ms | رزولوشن 4K UHD,طراحی، گیمینگ، مانیتور، 4K
54,کنسول بازی,مایکروسافت,PlayStation 5 SE,مایکروسافت PlayStation 5 SE - مشکی,پیشنهاد ویژه: مایکروسافت PlayStation 5 SE. کنترلر DualSense | نرخ فریم ۱۲۰fps | ریمسترهای نسل نهم. ارسال سریع.,29020000,0,10,3.8,703,مشکی,۱۲ ماه گارانتی,کنترلر DualSense | نرخ فریم ۱۲۰fps | ریمسترهای نسل نهم | حافظه SSD سریع,کنسول، PlayStation، Nintendo، گیمینگ
55,لوازم حیوانات,فارنام,مکمل مو,فارنام مکمل مو - متنوع,محصول فارنام مدل مکمل مو با ویژگی‌های ویتامین‌های ضروری | پروتئین بالا ۳۲% | دانه‌بندی ریز. بهترین انتخاب در دسته لوازم حیوانات.,1840000,30,100,2.7,2190,متنوع,۶ ماه گارانتی,ویتامین‌های ضروری | پروتئین بالا ۳۲% | دانه‌بندی ریز | بدون گلوتن,گربه، سگ، سلامت، حیوانات خانگی
56,کیف,دلسی,کیف اداری (نسخه جدید),دلسی کیف اداری (نسخه جدید) - قهوه‌ای,محصول دلسی مدل کیف اداری (نسخه جدید) با ویژگی‌های جیب لپ‌تاپ ۱۵.۶ | فضای داخلی وسیع | سبک وزن. بهترین انتخاب در دسته کیف.,1975000,30,50,4.4,69,قهوه‌ای,بدون گارانتی,جیب لپ‌تاپ ۱۵.۶ | فضای داخلی وسیع | سبک وزن | چرم مصنوعی با کیفیت,کیف، دانشجویی، اداری، مسافرت
57,لوازم خودرو,دنا,آینه دیجیتال Ultra,دنا آینه دیجیتال Ultra - نقره‌ای,محصول دنا مدل آینه دیجیتال Ultra با ویژگی‌های صفحه لمسی ۳.۵ اینچ | شتاب G-Sensor | GPS مکان‌یاب. بهترین انتخاب در دسته لوازم خودرو.,7065000,10,15,3.5,1678,نقره‌ای,۱۸ ماه گارانتی,صفحه لمسی ۳.۵ اینچ | شتاب G-Sensor | GPS مکان‌یاب | شارژ سریع,خودرو، ایمنی، لوازم ماشین، دوربین
58,ماوس,ریزر,Aerox 3 Plus,ریزر Aerox 3 Plus - خاکستری,ریزر Aerox 3 Plus - اسکرول سریع | باتری ۷۰ ساعته | RGB. مناسب برای کاربران ماوس.,295000,10,100,3.4,1109,خاکستری,۱۲ ماه گارانتی,اسکرول سریع | باتری ۷۰ ساعته | RGB | سنسور ۲۵۶۰۰ DPI,گیمینگ، ماوس، اداری، ارگونومیک
59,لوازم حیوانات,رویال کانین,غذای گربه (نسخه جدید),رویال کانین غذای گربه (نسخه جدید) - متنوع,رویال کانین غذای گربه (نسخه جدید) - هضم آسان | تأیید دامپزشک | ویتامین‌های ضروری. مناسب برای کاربران لوازم حیوانات.,1635000,0,30,3.1,2083,متنوع,۲۴ ماه گارانتی,هضم آسان | تأیید دامپزشک | ویتامین‌های ضروری | دانه‌بندی ریز,حیوانات خانگی، سلامت، گربه، سگ
